Instructor,Course,Semester,Course_Grade,Pre,Pre %,Post,Post %,% Change,%_Possible_Change,Normalized_Gain
H,Bio 1530,2015_Spring,59.00,9,21,9,21,0,79,0.00
H,Bio 1530,2015_Spring,58.00,9,21,13,31,10,79,0.12
H,Bio 1530,2015_Spring,58.00,10,24,10,24,0,76,0.00
H,Bio 1530,2015_Spring,57.00,16,38,9,21,-17,62,0.00
H,Bio 1530,2015_Spring,57.00,12,29,8,19,-10,71,0.00
H,Bio 1530,2015_Spring,56.00,6,14,11,26,12,86,0.14
H,Bio 1530,2015_Spring,55.00,7,17,13,31,14,83,0.17
H,Bio 1530,2015_Spring,54.00,7,17,12,29,12,83,0.14
H,Bio 1530,2015_Spring,54.00,6,14,7,17,2,86,0.03
H,Bio 1530,2015_Spring,53.00,17,40,11,26,-14,60,0.00
H,Bio 1530,2015_Spring,53.00,17,40,11,26,-14,60,0.00
H,Bio 1530,2015_Spring,50.00,13,31,8,19,-12,69,0.00
H,Bio 1530,2015_Spring,47.00,12,29,12,29,0,71,0.00
H,Bio 1530,2015_Spring,45.00,9,21,10,24,2,79,0.03
H,Bio 1530,2015_SU,100.00,18,43,35,83,40,57,0.71
H,Bio 1530,2015_SU,99.00,15,36,32,76,40,64,0.63
H,Bio 1530,2015_SU,89.00,9,21,20,48,26,79,0.33
H,Bio 1530,2015_SU,89.00,10,24,11,26,2,76,0.03
H,Bio 1530,2015_SU,83.00,7,17,24,57,40,83,0.49
H,Bio 1530,2015_SU,82.00,16,38,12,29,-10,62,0.00
